timestamp, p_x, p_y,p_z, q_x, q_y,q_z, q_w
DJI_0.JPG,6.0,-7.0,10.710005,-0.62721137512625,-0.6272113751262499,0.32650557562197696,0.326505575621977
DJI_1.JPG,5.458172417006347,-10.246994692046835,10.690005,-0.7218926287868626,-0.5154214301702209,0.2683114136948749,0.3757935165826239
DJI_2.JPG,3.891405093963936,-13.142127126896678,10.600005,-0.7968825333678048,-0.3895721322025388,0.20279841583783068,0.4148307900314818
DJI_3.JPG,1.4694815812242705,-15.371664782625285,10.580005,-0.8501355597562001,-0.2530963220071268,0.1317536058527451,0.4425525609114431
DJI_4.JPG,-1.5451451285920075,-16.694002659393306,10.550005,-0.8801991042124522,-0.10971670392023058,0.05711490095601368,0.4582026515781656
DJI_5.JPG,-4.825793454723323,-16.965844930066698,10.490005,-0.886253111613606,0.03665569983950826,-0.019081749551362943,0.46135416835500265
DJI_6.JPG,-8.016954246529693,-16.157733266550576,10.510005,-0.8681324444193773,0.18202823166190335,-0.09475789967338706,0.45192114607967326
DJI_7.JPG,-10.772815716257409,-14.357239106731317,10.440005,-0.826331387193771,0.3224355078367471,-0.16784930130773,0.4301608930097946
DJI_8.JPG,-12.79473751206489,-11.759473930370737,10.410005,-0.7619901638106779,0.45404758388444183,-0.2363622115528706,0.39666697212436675
DJI_9.JPG,-13.863613034027223,-8.645945902807341,10.370005,-0.6768638351189373,0.5732744254574829,-0.2984277768171489,0.35235301027300886
DJI_10.JPG,-13.863613034027225,-5.3540540971926625,10.300005,-0.573274425457483,0.6768638351189371,-0.35235301027300875,0.298427776817149
DJI_11.JPG,-12.794737512064891,-2.240526069629265,10.290005,-0.454047583884442,0.7619901638106777,-0.3966669721243667,0.23636221155287068
DJI_12.JPG,-10.772815716257414,0.35723910673131254,10.240005,-0.32243550783674735,0.8263313871937709,-0.43016089300979454,0.16784930130773013
DJI_13.JPG,-8.0169542465297,2.157733266550572,10.210005,-0.1820282316619036,0.8681324444193773,-0.45192114607967326,0.09475789967338719
DJI_14.JPG,-4.825793454723327,2.965844930066698,10.180005,-0.03665569983950852,0.886253111613606,-0.46135416835500265,0.019081749551363075
DJI_15.JPG,-1.545145128592012,2.6940026593933055,10.170005,0.10971670392023043,0.8801991042124523,-0.45820265157816564,-0.057114900956013605
DJI_16.JPG,1.469481581224266,1.3716647826252881,10.130005,0.2530963220071266,0.8501355597562001,-0.4425525609114431,-0.131753605852745
DJI_17.JPG,3.8914050939639333,-0.8578728731033198,10.100005,0.38957213220253833,0.796882533367805,-0.41483079003148193,-0.20279841583783045
DJI_18.JPG,5.458172417006347,-3.7530053079531625,10.030005,0.5154214301702209,0.7218926287868626,-0.3757935165826239,-0.2683114136948749
DJI_19.JPG,6.0,-6.999999999999997,10.000005,0.6272113751262499,0.62721137512625,-0.326505575621977,-0.32650557562197696
